Crohn’s disease,p-value,CRC_count,CRC_percentage,Non-CRC_count,Non-CRC_percentage
CIHD,0.001,46.0,24.1,1739.0,13.7
CHF,0.001,22.0,11.5,615.0,4.8
COPD,0.001,33.0,17.3,1089.0,8.6
Asthma,0.383,26.0,13.6,2024.0,15.9
Chronic renal failure,0.001,51.0,26.7,1220.0,9.6
Hypertension,0.001,92.0,48.2,3440.0,27.1
Diabetes mellitus,0.001,36.0,18.8,1116.0,8.8
Dyslipidemia,0.001,93.0,48.7,3970.0,31.3
NAFLD,0.31,12.0,6.3,1057.0,8.3
Obesity,0.428,38.0,19.9,2831.0,22.3
CVA,0.04,8.0,4.2,260.0,2.0
Dementia,0.001,15.0,7.9,347.0,2.7
Liver cirrhosis,0.008,6.0,3.1,139.0,1.1
Vitamin B12 deficiency,0.001,11.0,5.8,252.0,2.0
Folic acid deficiency,0.467,63.0,33.0,3878.0,30.5
Iron deficiency anemia,0.001,119.0,62.3,5913.0,46.6
Vitamin D deficiency,0.17,53.0,27.7,2984.0,23.5
Primary sclerosing cholangitis,0.002,8.0,4.2,187.0,1.5
Arthritis,0.018,42.0,22.0,1993.0,15.7
Osteoporosis,0.037,22.0,11.5,953.0,7.5
Uveitis,0.001,21.0,11.0,653.0,5.1
Scleritis,0.262,5.0,2.6,202.0,1.6
Erythema Nodosum,0.742,5.0,2.6,287.0,2.3
Pyoderma gangersum,0.007,2.0,1.0,23.0,0.2
Pancreatitis,0.627,5.0,2.6,412.0,3.2
Peri-anal abscess,0.908,14.0,7.3,959.0,7.6
Anal fissure,0.43,12.0,6.3,638.0,5.0
Pulmonary embolism,0.589,4.0,2.1,203.0,1.6
DVT,0.0012,10.0,5.2,207.0,1.6
Surgery,,,,,
Right Hemicolectomy,0.001,20.0,10.5,331.0,2.6
Left hemicolectomy,0.001,2.0,1.0,14.0,0.1
Total colectomy,0.001,4.0,2.1,29.0,0.2
Subtotal colectomy,0.0011,1.0,0.5,,
Small bowel resection,0.001,12.0,6.3,319.0,2.5
Anterior resection,0.001,8.0,4.2,9.0,0.1
Ileostomy,0.001,2.0,1.0,14.0,0.1
Colostomy,0.002,2.0,1.0,19.0,0.1
Abdominal abscess,0.965,5.0,2.6,339.0,2.7
